product_id,product_name,brand,claim_text,context,is_claim,claim_verifiable,claim_conflict,conflict_explanation
41220001644,Condensed Soup,H-E-B,No gluten,Condensed Soup | H-E-B,1,1,0,explicit gluten-free claim
21500806121,SEASONED SALT,LAWRY'S,No gluten,SEASONED SALT | LAWRY'S,1,1,0,explicit gluten-free claim
41420110184,Gummy bears,"Black Forest, Ferrara Candy Company",organic sunflower oil*,"Gummy bears | Black Forest, Ferrara Candy Company",1,0,0,organic ingredient claim (not evaluated)
30034068660,Diet Tonic Water,"Giant Eagle,  Giant Eagle  Inc.",No gluten,"Diet Tonic Water | Giant Eagle,  Giant Eagle  Inc.",1,1,0,explicit gluten-free claim
27000380499,Diced Tomatoes No Salt Added,Hunt's,,"Diced Tomatoes, No Salt Added | Hunt's",1,1,0,no-salt-added sodium claim from name
11110825568,"Kroger, lactose free 2% reduced fat milk","Kroger,  The Kroger Co.",lactose free 2% reduced fat milk'},"Kroger, lactose free 2% reduced fat milk | Kroger,  The Kroger Co.",1,1,0,lactose-free reduced-fat milk claim
44196,Cantina tortillas,M&S,No gluten,Cantina tortillas | M&S,1,1,0,explicit gluten-free claim
33984002005,Vitamine B Complex Avec Vitamine C - 100 Tablettes - Solgar,,Sans gluten,Vitamine B Complex Avec Vitamine C - 100 Tablettes - Solgar |,1,1,0,french sans-gluten wording
99202,Yogurt coated rice cakes,M&S,Lactose en poudre (Lait),Yogurt coated rice cakes | M&S,0,0,0,"ingredient fragment, not a claim"
25638870023,Pure Coffee Extract,Nielsen-Massey,Certified gluten-free,Pure Coffee Extract | Nielsen-Massey,1,1,0,certified gluten-free wording
33776011208,Low Sodium Whipped Imitation Butter,Smart Balance,,Low Sodium Whipped Imitation Butter | Smart Balance,1,1,0,low sodium nutrient claim (from name)
34000450213,Milk chocolate miniature peanut butter cups,Reese's,No gluten,Milk chocolate miniature peanut butter cups | Reese's,1,1,0,explicit gluten-free claim
36632019622,MIXED BERRY FLAVOURED OIKOS TRIPLE ZERO,OIKOS,certified-gluten-free,MIXED BERRY FLAVOURED OIKOS TRIPLE ZERO | OIKOS,1,1,0,certified gluten-free wording
39978049407,Organic Golden Flaxseed Meal,Bob's Red Mill,No gluten,Organic Golden Flaxseed Meal | Bob's Red Mill,1,1,0,explicit gluten-free claim
22506201323,Canola Mayonnaise,Spectrum Naturals,No gluten,Canola Mayonnaise | Spectrum Naturals,1,1,0,explicit gluten-free claim
33919000458,Flying Cauldron Butterscotch Beer,Reed's,No gluten,Flying Cauldron Butterscotch Beer | Reed's,1,1,0,explicit gluten-free claim
22506002913,Organic Mayonnaise,Spectrum Naturals,,Organic Mayonnaise | Spectrum Naturals,1,0,0,organic claim (not evaluated)
26825008922,"Gia russa, select pasta sauce, hot sicilian","Gia Russa,  Gia Brands Inc.",,"Gia russa, select pasta sauce, hot sicilian | Gia Russa,  Gia Brands Inc.",0,0,0,no claim text present
15900002115,Classic Jumbo Franks,Bar S,SALT,Classic Jumbo Franks | Bar S,0,0,0,ingredient word salt only
36800342699,Brown Rice,Full Circle,,Brown Rice | Full Circle,0,0,0,no claim text present
13971010015,Cinnamon Crunchy Apple Chips,"Simply,  Bare",,"Cinnamon Crunchy Apple Chips | Simply,  Bare",0,0,0,no claim text present
41449403267,Wild Blueberry Muffin Mix,Krusteaz,certified-gluten-free,Wild Blueberry Muffin Mix | Krusteaz,1,1,0,certified gluten-free wording
21908452296,Blue Corn Tortilla Chips,"Food Should Taste Good,  Small Planet Foods  Inc.",,"Blue Corn Tortilla Chips | Food Should Taste Good,  Small Planet Foods  Inc.",0,0,0,no claim text present
9300001809,Fresh Pack Kosher Dills,Mt. Olive,1% SODIUM BENZOATE (PRESERVATIVE),Fresh Pack Kosher Dills | Mt. Olive,0,0,0,"ingredient preservative, not a claim"
28000081409,Milk chocolate,Nestlé,No gluten,Milk chocolate | Nestlé,1,1,0,explicit gluten-free claim
22000017758,Skittles Sweets And Sours Boite Theatre,Skittles,Sans gluten,Skittles Sweets And Sours Boite Theatre | Skittles,1,1,0,french sans-gluten claim
41220974900,Tomato Basil Soup,H-E-B,No gluten,Tomato Basil Soup | H-E-B,1,0,1,explicit gluten-free claim
39978024534,Baking Flour,"Bob's Red Mill,  Bob's Red Mill Natural Foods  Inc.",No gluten,"Baking Flour | Bob's Red Mill,  Bob's Red Mill Natural Foods  Inc.",1,1,0,explicit gluten-free claim
