product_id,name,brand,category,ingredients,serving_size_g,energy_100g,fat_100g,saturated_fat_100g,carbs_100g,fiber_100g,sugars_100g,protein_100g,sodium_100g,net_carbs_100g,energy_per_serving,fat_per_serving,saturated_fat_per_serving,carbs_per_serving,fiber_per_serving,sugars_per_serving,protein_per_serving,sodium_per_serving,net_carbs_per_serving,keto_compliant,high_protein,low_sodium,low_fat
20103644,Kokosmilch,Freshona,en:plant-based-foods-and-beverages,"91% coconut extract, water, guar gum stabilizer,",1400.0,194.0,20.5,16.8,1.4,0.6,0.9,0.8,20.0,0.7999999999999999,2716.0,287.0,235.20000000000002,19.599999999999998,8.4,12.6,11.200000000000001,280.0,11.2,0,1,0,0
6111184004129,Mayonnaise recette originale,Star,en:condiments,"Huile de soja, eau, vinaigre de table, jaune d’œufs, moutarde&quot;, sel, stabilisants (E412, E415), conservateur : (E202, E211) et antioxydant : E330. * contient des sulfites",100.0,592.0,65.21,9.8,0.22,0.0,0.05,1.12,700.0,0.22,592.0,65.21,9.8,0.22,0.0,0.05,1.12,700.0,0.22,1,0,0,0
8422174010029,Gazpacho Original,"Alvalle, PepsiCo",en:plant-based-foods-and-beverages,"Verdures fresques (94%) (tomàquet, pebrot vermell, cogombre, ceba), 
oli d'oliva verge extra (2,2%), 
vinagre de vi, 
sal marina, 
all, 
suc de llimona",100.0,42.0,2.4,0.4,3.5,1.2,3.3,0.9,248.0,2.3,42.0,2.4,0.4,3.5,1.2,3.3,0.9,248.0,2.3,1,0,0,1
6111128000163,Ain Saiss Eau Minerale Naturelle,Danone,en:beverages-and-beverages-preparations,"Calcium : 63,5
Magnésium : 35,5
Nitratex : 7
Sodium 8
Chlorures : 19,8
Sulfate : 3,8
Bicarbonate : 372
Potassium : 1",33.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,1,1
50457243,Tomato Ketchup,Heinz,en:condiments,"Tomatoes, Spirit Vinegar, Sugar, Salt, Spice and Herb Extracts (contain Celery), Spice.",15.0,102.0,0.1,0.0,23.2,0.0,22.8,1.2,720.0,23.2,15.299999999999999,0.015,0.0,3.48,0.0,3.42,0.18,108.0,3.48,1,0,1,1
8001665714372,Tortellini ricotta & épinards,"Giovanni Rana, Rana",en:plant-based-foods-and-beverages,"Farce 53% : ricotta 35% (sérum de lait lait, sel), épinards 20%, fibres végétales (mais et pommes de terre), huile de tournesol, chapelure (farine de blé tendre, eau, sel, levure), sérum de lait en poudre, fromage mascarpone, amidons, flocons de pomme de terre, ail, noix de muscade, aromes naturels (contiennent lait, blé), sel), Pâte 47% (farine de blé tendre, oeufs 30%, semoule de blé dur)",100.0,257.0,7.8,2.5,35.0,5.5,5.6,9.0,440.0,29.5,257.0,7.8,2.5,35.0,5.5,5.6,9.0,440.0,29.5,0,0,0,0
3011360007421,Knorr Soupe Minestrone à l'Huile d'Olive 104g 4 Portions,"Knorr, Unilever",en:plant-based-foods-and-beverages,"pâtes gentilini : 27% (semoule de BLÉ dur), pomme de terre¹, tomate¹ : 14%, amidon de pomme de terre, 
haricot blanc,sel, haricot brun, carotte¹ : 2,9%, huile d'olive vierge extra : 2,9%, haricot vert¹ : 1,9%, chlorure de potassium, protéines végétales hydrolysées, oignon¹, épices et aromates (curcuma¹, ail¹, persil¹, basilic¹ : 0,1%, poivre, graines de CÉLERI, romarin), petit pois¹ : 1%, extrait de levure, jus de citron, (jus de citron, maltodextrine), arôme. Peut contenir : lait, moutarde, œuf, soja. 
¹Ingrédients issus de l'agriculture durable : 43%. 

Teneur en légumes : 50,5%.",100.0,33.0,0.5,0.1,5.6,0.8,1.1,1.2,292.0,4.8,33.0,0.5,0.1,5.6,0.8,1.1,1.2,292.0,4.8,1,0,0,1
6111242100206,Yaourt nature,Jaouda,en:dairies,"lait frais entier, poudre de lait écrémé, amidon, ferment lactique sélectionné",100.0,78.5,3.3,2.4,8.0,0.0,0.0,4.2,0.0,8.0,78.5,3.3,2.4,8.0,0.0,0.0,4.2,0.0,8.0,0,0,1,0
7613287194374,Bitesize shredded wheat,Nestlé,en:plant-based-foods-and-beverages,Whole Grain Wheat (100%),40.0,367.0,2.2,0.5,68.7,12.5,0.7,11.8,20.0,56.2,146.8,0.8800000000000001,0.2,27.480000000000004,5.0,0.27999999999999997,4.720000000000001,8.0,22.480000000000004,0,0,1,1
3029330022428,14 Maxi Tranches complet sans sucres ajoutés,Jacquet,en:plant-based-foods-and-beverages,"Farine complète de blé (63%), eau, farine de blé (2,2%), huile de colga, Levure, arôme naturel (contient alcool), sel, farine de maïs fermentée, gluten de blé, jus d'acérola en poudre. Contient des sucres naturellement présents. Une recette sans huile de palme pour des pains de mie moelleux. Con vient à un régime végétalien. pour 1 portion %AR* pour (1 tranche ÉTIQUETAGE NUTRITIONNEL 100 g par =39,3g) portion 410 97 f Valeur 1020 kJ énergétique",393.0,243.0,3.0,0.3,42.0,6.6,3.8,8.7,480.0,35.4,954.99,11.790000000000001,1.179,165.06,25.938,14.934,34.190999999999995,1886.4,139.122,0,1,0,0
5013665100065,Organic Lightly Salted Wholegrain Low Fat Rice Cakes,Kallo,en:plant-based-foods-and-beverages,"Organic wholegrain _rice_ 99.8%, Sea Salt",1100.0,394.0,2.7,0.7,82.3,0.0,0.5,8.5,118.0,82.3,4334.0,29.700000000000003,7.699999999999999,905.3,0.0,5.5,93.5,1298.0,905.3,0,1,0,0
3046920022606,Excellence Noir Puissant 85% Cacao,Lindt,en:snacks,"Pâte de cacao, cacao maigre, beurre de cacao, cassonade, vanille.

Peut contenir du lait, des fruits à coque, du soja et des graines de sésame.",100.0,584.0,46.0,27.0,22.0,0.0,15.0,12.5,8.0,22.0,584.0,46.0,27.0,22.0,0.0,15.0,12.5,8.0,22.0,0,1,1,0
8076809513753,Pesto alla Genovese,Barilla,en:condiments,"sunflower oil, fresh basil 30%, cashew nuts, parmigiano reggiano pdo cheese 5%, (milk), maize fibre, whey powder (milk), salt, milk protein, extra virgin olive oil, sugar, basil extract, natural flavourings (milk), acidity regulator: lactic acid, garlic",475.0,492.0,47.0,5.3,11.0,3.0,5.0,4.7,1280.0,8.0,2337.0,223.25,25.175,52.25,14.25,23.75,22.325,6080.0,38.0,0,1,0,0
6111266962446,6111266962446,,en:dairies,"Lait frais entier, crème, préparation aux morceaux de chocolat, sucre, poudre de lait écrémé, texturant : amidon, arômes, ferments lactiques sélectionnés, colorant naturel",90.0,167.8,7.4,4.8,0.0,0.0,20.0,5.3,0.0,0.0,151.02,6.66,4.32,0.0,0.0,18.0,4.77,0.0,0.0,1,0,1,0
